evaluation_id,student_id,score,feedback,feedback_length,vigor,motivacao,autoimagem,absorcao,dedicacao,clareza_metas,cooperacao,estresse,resiliencia,infraestrutura,avaliacao_instituicao,avaliacao_professor,indice_engajamento_geral,proba_vigor,proba_motivacao,proba_autoimagem,proba_absorcao,proba_dedicacao,proba_clareza_metas,proba_cooperacao,proba_estresse,proba_resiliencia,proba_infraestrutura,proba_avaliacao_instituicao,proba_avaliacao_professor,proba_indice_engajamento_geral,meta_prediction,created_at
1_202401,1,1,"Seria interessante ter mais exercícios de fixação. Gostei da didática do professor, mas o material poderia melhorar.",17,1,1,1,1,1,1,1,1,1,1,1,1,1,0.625,0.593,0.632,0.676,0.588,0.588,0.679,0.638,0.577,0.627,0.577,0.577,0.63,0,2024-01-01T00:00:00Z
1_202402,1,1,Faltou interação entre os colegas em atividades de grupo. Tive dificuldade em acompanhar alguns tópicos mais avançados.,17,1,1,1,1,1,1,1,1,1,1,1,1,1,0.612,0.504,0.514,0.572,0.549,0.616,0.555,0.529,0.673,0.589,0.603,0.529,0.578,0,2024-02-01T00:00:00Z
1_202403,1,1,O curso foi muito bom e aprendi bastante. A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado.,20,1,1,1,1,1,1,1,1,1,1,1,1,1,0.573,0.606,0.542,0.619,0.57,0.585,0.57,0.693,0.599,0.547,0.641,0.539,0.587,0,2024-03-01T00:00:00Z
1_202404,1,5,Recomendo o curso para quem está começando na área. A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado.,21,1,1,1,1,1,1,1,1,1,1,1,1,1,0.61,0.502,0.534,0.61,0.637,0.609,0.594,0.585,0.526,0.564,0.577,0.653,0.619,0,2024-04-01T00:00:00Z
1_202405,1,5,Tive dificuldade em acompanhar alguns tópicos mais avançados. Recomendo o curso para quem está começando na área.,17,1,1,1,1,1,1,1,1,1,1,1,1,1,0.617,0.512,0.616,0.581,0.566,0.631,0.652,0.647,0.558,0.585,0.617,0.649,0.588,0,2024-05-01T00:00:00Z
1_202406,1,3,O curso foi muito bom e aprendi bastante.,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.576,0.591,0.545,0.54,0.641,0.668,0.596,0.65,0.618,0.568,0.618,0.677,0.586,0,2024-06-01T00:00:00Z
2_202401,2,4,O conteúdo está bem organizado e claro. A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado.,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398,0.478,0.269,0.441,0.404,0.385,0.405,0.301,0.389,0.418,0.474,0.374,0.414,1,2024-01-01T00:00:00Z
2_202402,2,3,Achei que faltaram exemplos práticos em algumas aulas. Achei que faltaram exemplos práticos em algumas aulas.,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.375,0.446,0.416,0.374,0.426,0.405,0.448,0.365,0.384,0.38,0.327,0.383,1,2024-02-01T00:00:00Z
2_202403,2,3,O conteúdo está bem organizado e claro.,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415,0.413,0.4,0.388,0.329,0.379,0.383,0.36,0.392,0.42,0.494,0.409,0.377,1,2024-03-01T00:00:00Z
2_202404,2,1,Os fóruns ajudaram a tirar dúvidas rapidamente.,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0.413,0.396,0.304,0.399,0.403,0.523,0.39,0.415,0.398,0.342,0.457,0.438,0.405,1,2024-04-01T00:00:00Z
2_202405,2,4,Achei que faltaram exemplos práticos em algumas aulas.,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0.44,0.355,0.47,0.33,0.429,0.51,0.35,0.372,0.405,0.375,0.322,0.403,0.4,1,2024-05-01T00:00:00Z
2_202406,2,5,O conteúdo está bem organizado e claro.,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347,0.424,0.354,0.477,0.361,0.384,0.441,0.338,0.411,0.465,0.32,0.409,0.395,1,2024-06-01T00:00:00Z
3_202401,3,1,A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado.,12,1,1,1,1,1,1,1,1,1,1,1,1,1,0.613,0.639,0.538,0.534,0.626,0.615,0.613,0.617,0.566,0.612,0.615,0.564,0.591,0,2024-01-01T00:00:00Z
3_202402,3,1,A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado.,12,1,1,1,1,1,1,1,1,1,1,1,1,1,0.693,0.624,0.54,0.633,0.551,0.639,0.658,0.559,0.648,0.621,0.641,0.695,0.626,0,2024-02-01T00:00:00Z
3_202403,3,4,Seria interessante ter mais exercícios de fixação.,7,1,1,1,1,1,1,1,1,1,1,1,1,1,0.588,0.562,0.556,0.559,0.596,0.617,0.614,0.641,0.601,0.673,0.587,0.736,0.581,0,2024-03-01T00:00:00Z
3_202404,3,3,"Gostei da didática do professor, mas o material poderia melhorar. A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado.",22,1,1,1,1,1,1,1,1,1,1,1,1,1,0.631,0.557,0.546,0.624,0.589,0.636,0.624,0.596,0.558,0.524,0.578,0.643,0.615,0,2024-04-01T00:00:00Z
3_202405,3,3,Achei que faltaram exemplos práticos em algumas aulas.,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.611,0.538,0.609,0.619,0.556,0.608,0.603,0.543,0.618,0.628,0.654,0.653,0.595,0,2024-05-01T00:00:00Z
3_202406,3,2,Faltou interação entre os colegas em atividades de grupo.,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.531,0.553,0.626,0.626,0.626,0.75,0.629,0.657,0.648,0.633,0.584,0.638,0.594,0,2024-06-01T00:00:00Z
4_202401,4,4,Seria interessante ter mais exercícios de fixação.,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0.361,0.388,0.376,0.404,0.516,0.307,0.434,0.319,0.376,0.454,0.403,0.346,0.427,1,2024-01-01T00:00:00Z
4_202402,4,5,A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado.,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0.364,0.434,0.363,0.411,0.402,0.367,0.507,0.432,0.299,0.409,0.367,0.443,0.392,1,2024-02-01T00:00:00Z
4_202403,4,1,A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado.,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.394,0.425,0.443,0.34,0.383,0.376,0.367,0.488,0.42,0.337,0.446,0.381,1,2024-03-01T00:00:00Z
4_202404,4,3,Tive dificuldade em acompanhar alguns tópicos mais avançados. A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado.,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0.506,0.452,0.324,0.376,0.463,0.365,0.422,0.439,0.354,0.397,0.25,0.349,0.448,1,2024-04-01T00:00:00Z
4_202405,4,5,O conteúdo está bem organizado e claro. Os fóruns ajudaram a tirar dúvidas rapidamente.,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387,0.338,0.482,0.328,0.378,0.407,0.472,0.328,0.458,0.401,0.351,0.423,0.364,1,2024-05-01T00:00:00Z
4_202406,4,4,"Os fóruns ajudaram a tirar dúvidas rapidamente. Gostei da didática do professor, mas o material poderia melhorar.",17,0,0,0,0,0,0,0,0,1,0,0,0,0,0.41,0.37,0.403,0.381,0.406,0.433,0.479,0.338,0.507,0.302,0.392,0.429,0.399,1,2024-06-01T00:00:00Z
5_202401,5,5,Faltou interação entre os colegas em atividades de grupo. Recomendo o curso para quem está começando na área.,18,1,1,1,1,1,1,1,1,1,1,1,1,1,0.614,0.569,0.59,0.575,0.571,0.642,0.618,0.565,0.645,0.615,0.641,0.631,0.587,0,2024-01-01T00:00:00Z
5_202402,5,4,Recomendo o curso para quem está começando na área. A infraestrutura da sala estava ótima e os recursos ajudaram no aprendizado.,21,1,1,1,1,1,1,1,1,1,1,1,1,1,0.559,0.572,0.637,0.631,0.599,0.606,0.664,0.57,0.627,0.59,0.589,0.655,0.596,0,2024-02-01T00:00:00Z
5_202403,5,2,Faltou interação entre os colegas em atividades de grupo.,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.641,0.641,0.665,0.601,0.634,0.584,0.616,0.593,0.605,0.63,0.559,0.705,0.625,0,2024-03-01T00:00:00Z
5_202404,5,1,"Achei que faltaram exemplos práticos em algumas aulas. Gostei da didática do professor, mas o material poderia melhorar.",18,1,1,1,1,1,1,1,1,1,1,1,1,1,0.55,0.539,0.658,0.64,0.631,0.631,0.599,0.555,0.604,0.566,0.649,0.593,0.607,0,2024-04-01T00:00:00Z
5_202405,5,4,Recomendo o curso para quem está começando na área. Tive dificuldade em acompanhar alguns tópicos mais avançados.,17,1,1,1,1,1,1,1,1,1,1,1,1,1,0.559,0.584,0.621,0.572,0.559,0.612,0.612,0.575,0.576,0.612,0.528,0.53,0.563,0,2024-05-01T00:00:00Z
5_202406,5,5,Os fóruns ajudaram a tirar dúvidas rapidamente.,7,1,1,1,1,1,1,1,1,1,1,1,1,1,0.564,0.589,0.616,0.674,0.643,0.592,0.599,0.55,0.599,0.586,0.616,0.559,0.627,0,2024-06-01T00:00:00Z
6_202401,6,1,Achei que faltaram exemplos práticos em algumas aulas.,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.626,0.677,0.595,0.62,0.635,0.58,0.611,0.601,0.605,0.561,0.601,0.625,0.627,0,2024-01-01T00:00:00Z
6_202402,6,5,Seria interessante ter mais exercícios de fixação.,7,1,1,1,1,1,1,1,1,1,1,0,1,1,0.673,0.648,0.708,0.562,0.644,0.609,0.709,0.56,0.558,0.57,0.494,0.574,0.626,0,2024-02-01T00:00:00Z
